pasta,origem,destino,motivo
7891025118985,7891025118985-YoPRO_Bebida_L_ctea_UHT_Milkshake_de_Baunilha_25g_de_prote_nas_250ml-(8).jpg,7891025118985_8.jpg,padronizacao_nome
7891025118985,7891025118985-YoPRO_Bebida_L_ctea_UHT_Milkshake_de_Baunilha_25g_de_prote_nas_250ml-(9).jpg,7891025118985_9.jpg,padronizacao_nome
7891025118985,7891025118985-YoPRO_Bebida_L_ctea_UHT_Milkshake_de_Baunilha_25g_de_prote_nas_250ml-(10).jpg,7891025118985_10.jpg,padronizacao_nome
7891025118985,7891025118985-YoPRO_Bebida_L_ctea_UHT_Milkshake_de_Baunilha_25g_de_prote_nas_250ml-(11).jpg,7891025118985_11.jpg,padronizacao_nome
7891025118985,7891025118985-YoPRO_Bebida_L_ctea_UHT_Milkshake_de_Baunilha_25g_de_prote_nas_250ml-(12).jpg,7891025118985_12.jpg,padronizacao_nome
7891025118985,7891025118985-YoPRO_Bebida_L_ctea_UHT_Milkshake_de_Baunilha_25g_de_prote_nas_250ml-(13).jpg,7891025118985_13.jpg,padronizacao_nome
7891025118985,7891025118985-YoPRO_Bebida_L_ctea_UHT_Milkshake_de_Baunilha_25g_de_prote_nas_250ml-(14).jpg,7891025118985_14.jpg,padronizacao_nome
7891025119722,7891025119722-Milnutri_800g_Com_20_De_Desconto_Na_2_Unidade-(1).jpg,7891025119722_1.jpg,padronizacao_nome
7891025121336,7891025121336-Activia_Polpa_Natural_Integral_140g-(1).jpg,7891025121336_1.jpg,padronizacao_nome
7891025121930,7891025121930-Sobremesa_Danette_Morango_180g_2_unidades-(1).jpg,7891025121930_1.jpg,padronizacao_nome
7891025121930,7891025121930-Sobremesa_Danette_Morango_180g_2_unidades-(2).jpg,7891025121930_2.jpg,padronizacao_nome
7891025122050,7891025122050_1A.jpg,7891025122050_1.jpg,padronizacao_nome
7891025122050,7891025122050_1B.jpg,7891025122050_2.jpg,ajuste_para_evitar_duplicidade
7891025122050,7891025122050_02.png,7891025122050_3.png,ajuste_para_evitar_duplicidade
7891025122050,7891025122050_03.jpg,7891025122050_4.jpg,ajuste_para_evitar_duplicidade
7891025122050,7891025122050_04.jpg,7891025122050_5.jpg,ajuste_para_evitar_duplicidade
7891025122050,7891025122050_05.png,7891025122050_6.png,ajuste_para_evitar_duplicidade
7891025122050,7891025122050_06.JPg,7891025122050_7.jpg,ajuste_para_evitar_duplicidade
7891025122050,7891025122050_07.jpg,7891025122050_8.jpg,ajuste_para_evitar_duplicidade
7891025122050,7891025122050_08.jpg,7891025122050_9.jpg,ajuste_para_evitar_duplicidade
